,count,mean,std,min,median,max,missing
LPI,668.0,3243.24,285.2,2300.0,3260.5,3902.0,0
Pro$,668.0,1145.09,733.44,-1528.0,1215.0,3027.0,0
Client Index,668.0,3243.24,285.2,2300.0,3260.5,3902.0,0
Milk (kg),668.0,412.37,536.77,-1742.0,416.0,1921.0,0
Fat (kg),668.0,42.54,33.04,-62.0,47.0,160.0,0
%Fat,668.0,0.22,0.3,-0.87,0.22,1.29,0
Prot (kg),668.0,26.05,20.24,-38.0,28.0,88.0,0
%Prot,668.0,0.09,0.14,-0.4,0.1,0.53,0
SCS,668.0,101.7,3.47,92.0,102.0,111.0,0
HL,668.0,102.53,3.71,91.0,103.0,112.0,0
Conf,668.0,6.17,4.15,-8.0,7.0,16.0,0
MS,668.0,4.38,3.65,-9.0,5.0,13.0,0
FL,668.0,4.56,3.89,-9.0,5.0,14.0,0
DS,668.0,4.08,3.71,-8.0,4.0,14.0,0
RU,668.0,3.94,3.53,-7.0,4.0,14.0,0
Genomic Inb. %,489.0,12.34,3.48,2.6,12.2,25.0,179
HO%,489.0,100.0,0.0,100.0,100.0,100.0,179
