trait,r_HL,p_HL,r_Pro$,p_Pro$
STA,-0.4001907219422635,4.3969609291595766e-27,-0.3222523460635575,1.317444633247229e-17
CW,-0.1797372071390248,2.941605697289827e-06,-0.030682089858985368,0.4285349345687555
BD,-0.37719074744780556,5.186942988042525e-24,-0.3244171545331937,7.776960077029615e-18
RS,-0.09403977459819705,0.015042202354692448,0.17118177876568746,8.630919486734855e-06
RAng,0.08563365594239278,0.02688503919739181,0.07900697596194879,0.041215285140196393
PW,-0.22035290256864257,8.643864137525408e-09,-0.1790209326899614,3.225398467731267e-06
LS,-0.10690159539732115,0.0056800665565707,-0.2725292070411146,7.68803585747078e-13
TP,0.20361002927850466,1.106579104136471e-07,0.22137771787699262,7.344727956067373e-09
UD,0.12286531481441387,0.0019720942223168123,-0.05181187750962159,0.19331813816226126
UT,-0.18544687872845098,2.68432527056386e-06,-0.2512649476093962,1.4814955222490154e-10
MSu,-0.12140656210264467,0.0016688579058061351,-0.20919854293715115,4.835612711200011e-08
UF,-0.11266541999261441,0.0045712290169235646,-0.17949464268157975,5.614278703409824e-06
FA,0.10113599036366125,0.008903323371687926,0.09762882938482861,0.011583250441284504
TL,-0.12917562427180226,0.0011353555834481535,-0.10793610717961338,0.006606820800195078
FTP,0.18053005030196737,2.6553718483622476e-06,0.17102605742835658,8.797483378859206e-06
RTP,0.01825600768241973,0.6376444608096912,-0.0007211110756883687,0.9851580376003995
RAH,0.2171184963392683,1.4377793889502777e-08,0.13863939656830557,0.00032577717425169534
RAW,-0.011269879064419838,0.7712489718827527,0.11223310323204214,0.003678503475425531
FAng,-0.008836899758943303,0.8196676039771518,-0.019230297081066935,0.6197988595856013
HD,0.17288268968493803,6.996836872036885e-06,0.11540345523992747,0.002816541131854578
LOC,0.236059301899909,1.8805875446713493e-09,0.13585907874989062,0.00061576560514211
FLV,0.18510439881571242,2.8025590351254644e-06,0.3305619267437582,1.40360633215535e-17
RLSV,-0.06994209673420232,0.07083569367407101,-0.06609925439638348,0.08781297447317579
RLRV,0.14023826010139576,0.0002771742755431528,-0.02728298679085449,0.481458820353722
BQ,-0.10939438978087257,0.0046463962717883025,-0.15965691143978836,3.39317802468612e-05
HFE,-0.2559815143306595,1.8698634073671847e-11,-0.3943429361943297,2.800922467817656e-26
BCS,0.17654101232610023,4.424360984066186e-06,0.05251489516548275,0.17520178752442409
