lab,d,lo,hi,p,p_bonf
Methane Efficiency,0.09944975162323702,-0.10774850178504641,0.30664800503152045,0.48529127104327674,1.0
Milk yield,0.1725491855383575,-0.02716645936530776,0.37226483044202274,0.12857006476966648,1.0
Feed Efficiency,0.4273449905060134,0.2257389812998971,0.6289509997121296,0.0001688998558033487,0.002195698125443533
Daughter Fertility,0.4945417657147342,0.2921746512594332,0.6969088801700352,2.3620297538139117e-06,3.070638679958085e-05
Protein yield,0.5289644976624298,0.32616579037939203,0.7317632049454676,3.150515626381034e-07,4.095670314295344e-06
Reproduction Index,0.5375156774277519,0.33460540324031945,0.7404259516151843,5.126140755590432e-07,6.663982982267562e-06
LPI,0.5503740967608924,0.347292810546131,0.7534553829756538,3.556610798603512e-09,4.6235940381845654e-08
Fat yield,0.5779376424151984,0.37447666575288857,0.7813986190775082,1.4369794744374798e-08,1.868073316768724e-07
Production Index,0.5805779396516673,0.3770796573103766,0.7840762219929579,2.8272401229903048e-08,3.6754121598873963e-07
Pro$ (profit),0.8623006173606238,0.6539041352087982,1.0706970995124494,1.7234296195996836e-15,2.2404585054795887e-14
Environmental Impact,0.9858979835541432,0.7747987784172864,1.1969971886909998,1.323817624488579e-18,1.7209629118351527e-17
Herd Life,1.0939963831221382,0.8802704114308368,1.3077223548134396,2.400613292584086e-22,3.1207972803593116e-21
Body Maintenance,1.4394381732160173,1.2157811808894738,1.6630951655425608,7.361888003427674e-32,9.570454404455976e-31
