Barn ID,Barn Name,Ear Tag Code,Registration Number,Registration Name,Chain Number,Location Pen Number,Nomination ID,Order Number,Order Date,Lab Status,Lab Status Date,Genotyped,Current group,Initial group,Birth Date,Due Date,Calving Date,Type,Lact. Number,Preg Status,No. Services,Inb.%,Genomic Inb. %,R-Value,Sire Semen Code,Sire Reg Number,Sire Name,Dam,MGS Semen Code,MGS Reg Number,MGS Name,GMGS Semen Code,GMGS Reg Number,GMGS Name,Proof Source,Evaluation date,Immunity,Calf,LPI,paLPI,Pro$,paPro$,Client Index,paClient Index,PROD,HEALTH,L-TYPE,REPRO,M-ABILITY,ENVIRO,Milk (kg),Fat (kg),%Fat,Prot (kg),%Prot,FE,BMR,ME,SCS,HL,MR,MDR,HH,LP,DF,MSp,MTemp,CA,DCA,BCS,CO,CH,Conf,MS,FL,DS,RU,UD,UT,MSu,UF,FA,TL,FTP,RTP,RAH,RAW,FAng,HD,LOC,FLV,RLSV,RLRV,BQ,STA,HFE,CW,BD,RS,RAng,PW,LS,TP,Polled Test,Color Test,BLAD,BY,CIT,CVM,DUMPS,MF,HH1,HH2,HH3,HH4,HH5,HH6,HCD,HMW,A2 Test,KappaBB,Lactoglobulin,BetaCasein,AY%,BS%,GU%,HO%,JE%,Parent conflict,Parent discovered,Original Sire Semen Code,Original Sire Reg Number,Original Sire Name,Original Dam Reg Number,Original MGS Semen Code,Original MGS Reg Number,Original MGS Name
SYN0000,SYNTHETIC_ANIMAL_000,SYN0000,SYN0000,SYNTHETIC_ANIMAL_000,,6.0,SYN0000,SYN0000,2026-05-03 02:42:40.073154105,Lab waiting for sample to arrive,2022-10-21 14:47:41.955764414,Y,Conventional,Sexed,2019-03-15 19:55:35.762973207,2026-06-16 05:06:02.538791696,2025-06-27 05:00:44.568942975,Heifer,2.0,P,2.0,10.065324053431121,,12.680883920218742,SYNTH00000,SYNTHM00000000,SYNTH_SIRE_07,SYN0000,SYNTH00000,SYNTH00000,SYNTHETIC_ANIMAL_000,SYNTH00000,SYNTH00000,SYNTHETIC_ANIMAL_000,SMX PA,2026-01-20 22:48:27.267314034,112.0,105.0,3534.0,3153.0,651.0,-12.0,3090.0,3379.0,587.0,611.0,843.0,432.0,486.0,505.0,-357.0,82.0,0.16708582497637198,56.0,0.08087902232221535,98.0,97.0,103.0,101.0,103.0,107.0,98.0,104.0,99.0,105.0,100.0,101.0,102.0,105.0,99.0,105.0,98.0,14.0,5.0,2.0,8.0,4.0,1.0,-1.0,1.0,7.0,0.0,-6.0,-0.0,3.0,4.0,11.0,2.0,4.0,2.0,-0.0,9.0,0.0,6.0,9.0,-5.0,3.0,-2.0,6.0,11.0,3.0,-1.0,-2.0,,ED/ED,1.0,3.0,0.0,8.0,1.0,1.0,0.0,0.0,2.455493990670661,1.0,0.0,0.7720375536142557,9.73363959069676,8.0,A2/A2,AE,NR,AA,0.0,0.0,0.0,,0.0,,Y,SYNTH00000,SYNTH00000,SYNTHETIC_ANIMAL_000,SYNTH00000,SYNTH00000,SYNTH00000,SYNTHETIC_ANIMAL_000
SYN0001,SYNTHETIC_ANIMAL_001,SYN0001,SYN0001,SYNTHETIC_ANIMAL_001,,9.0,SYN0001,SYN0001,2025-07-20 06:54:01.522607262,Completed,2026-01-24 21:31:27.948602147,N,,Sexed,2018-01-04 17:59:55.729237184,2026-06-23 06:47:20.259869471,,Heifer,1.0,P,4.0,4.243013814388429,13.16704455506069,13.085855244509656,SYNTH00001,SYNTHM00000001,SYNTH_SIRE_15,SYN0001,SYNTH00001,SYNTH00001,SYNTHETIC_ANIMAL_001,SYNTH00001,SYNTH00001,SYNTHETIC_ANIMAL_001,GPA,2026-06-04 19:41:57.708346258,102.0,,3087.0,3020.0,953.0,735.0,3232.0,2963.0,615.0,564.0,745.0,581.0,521.0,528.0,7.0,13.0,0.23757470658974653,27.0,0.16428759341746,103.0,99.0,103.0,110.0,100.0,96.0,101.0,93.0,104.0,99.0,98.0,98.0,97.0,101.0,100.0,102.0,105.0,6.0,8.0,1.0,5.0,5.0,-1.0,,2.0,1.0,10.0,-0.0,3.0,7.0,1.0,6.0,3.0,2.0,9.0,-4.0,1.0,5.0,-3.0,3.0,5.0,6.0,3.0,-2.0,0.0,1.0,6.0,3.0,,,1.0,4.0,0.0,0.0,1.0,1.0,0.7353437156264847,0.0,5.169723054251695,0.9061510294423966,9.183004918541304,5.478646045332063,7.766152449092331,9.0,A2/A2,AB,,AB,0.0,0.0,0.0,100.0,0.0,,N,SYNTH00001,SYNTH00001,SYNTHETIC_ANIMAL_001,SYNTH00001,SYNTH00001,SYNTH00001,SYNTHETIC_ANIMAL_001
SYN0002,SYNTHETIC_ANIMAL_002,SYN0002,SYN0002,SYNTHETIC_ANIMAL_002,,21.0,SYN0002,SYN0002,2025-12-01 12:12:49.133576555,Completed,2025-12-29 17:31:13.289337931,Y,Conventional,Sexed,2023-05-13 02:32:59.671430231,,2025-07-20 19:04:26.164113795,Heifer,1.0,P,4.0,8.447055991464243,18.961742572352,,SYNTH00002,SYNTHM00000002,SYNTH_SIRE_16,SYN0002,SYNTH00002,SYNTH00002,SYNTHETIC_ANIMAL_002,SYNTH00002,SYNTH00002,SYNTHETIC_ANIMAL_002,SMX PA,2025-12-05 14:50:02.925545907,107.0,111.0,3255.0,3519.0,1159.0,330.0,2792.0,3369.0,606.0,572.0,691.0,465.0,512.0,478.0,-155.0,52.0,0.48289367165403707,37.0,0.24212841475168584,104.0,96.0,100.0,99.0,108.0,100.0,100.0,107.0,94.0,104.0,102.0,101.0,103.0,100.0,96.0,97.0,102.0,14.0,13.0,2.0,0.0,6.0,3.0,8.0,8.0,8.0,-2.0,5.0,6.0,8.0,4.0,5.0,-4.0,5.0,5.0,3.0,-4.0,10.0,0.0,1.0,-0.0,2.0,0.0,5.0,9.0,5.0,-3.0,2.0,,,1.0,0.0,0.0,0.0,1.0,1.0,7.156132033702826,0.0,0.8746053305230069,1.0,0.0,4.946015314202196,0.0,9.0,A2/A2,,AB,AA,0.0,0.0,,,0.0,,,SYNTH00002,SYNTH00002,SYNTHETIC_ANIMAL_002,SYNTH00002,SYNTH00002,SYNTH00002,SYNTHETIC_ANIMAL_002
SYN0003,SYNTHETIC_ANIMAL_003,SYN0003,SYN0003,SYNTHETIC_ANIMAL_003,,1.0,SYN0003,SYN0003,2022-08-28 02:06:05.405500205,Completed,2024-07-15 12:20:46.418257774,Y,,Conventional,2024-01-08 13:19:35.362267569,2026-11-05 05:36:01.558133263,,Cow,0.0,P,,7.977499081528569,,11.205171888995237,SYNTH00003,SYNTHM00000003,SYNTH_SIRE_12,SYN0003,SYNTH00003,SYNTH00003,SYNTHETIC_ANIMAL_003,SYNTH00003,SYNTH00003,SYNTHETIC_ANIMAL_003,EBV,2026-05-03 15:48:16.070580249,102.0,101.0,3226.0,3149.0,1120.0,-140.0,3444.0,2869.0,610.0,608.0,622.0,439.0,471.0,383.0,818.0,8.0,0.19012578364496616,37.0,0.17871569996421877,103.0,92.0,96.0,103.0,106.0,104.0,97.0,100.0,96.0,101.0,103.0,102.0,98.0,97.0,100.0,100.0,95.0,9.0,-1.0,4.0,7.0,7.0,-1.0,7.0,1.0,5.0,0.0,6.0,-2.0,1.0,-3.0,8.0,2.0,7.0,2.0,3.0,-1.0,-3.0,7.0,1.0,3.0,8.0,-2.0,-0.0,1.0,-2.0,2.0,5.0,,,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,3.5740286077741636,0.8564250124139424,20.220655841486263,0.0,6.410998511333918,5.0,,AB,AB,AA,,,0.0,,,Y,N,SYNTH00003,SYNTH00003,SYNTHETIC_ANIMAL_003,SYNTH00003,SYNTH00003,SYNTH00003,SYNTHETIC_ANIMAL_003
SYN0004,SYNTHETIC_ANIMAL_004,SYN0004,SYN0004,SYNTHETIC_ANIMAL_004,,6.0,SYN0004,SYN0004,2025-05-02 18:58:10.852540267,,2024-11-24 20:48:53.598144912,N,Ivf,,2020-02-20 00:16:38.766211004,2026-08-27 09:31:45.854485047,2025-05-24 13:55:44.488735000,Heifer,0.0,P,,11.482872783477703,,12.59546548448765,SYNTH00004,SYNTHM00000002,SYNTH_SIRE_16,SYN0004,SYNTH00004,SYNTH00004,SYNTHETIC_ANIMAL_004,SYNTH00004,SYNTH00004,SYNTHETIC_ANIMAL_004,GEBV,2026-07-06 20:45:53.113222982,102.0,,3444.0,3188.0,-238.0,530.0,3797.0,3071.0,577.0,463.0,463.0,473.0,456.0,432.0,601.0,32.0,0.33769496751568584,13.0,0.10428946980624657,97.0,95.0,102.0,99.0,104.0,107.0,104.0,88.0,94.0,94.0,95.0,96.0,99.0,100.0,101.0,106.0,94.0,7.0,6.0,-5.0,3.0,2.0,3.0,3.0,2.0,-2.0,-5.0,1.0,2.0,-1.0,6.0,9.0,5.0,4.0,2.0,7.0,1.0,-1.0,-5.0,-2.0,7.0,4.0,-4.0,1.0,6.0,4.0,5.0,1.0,,,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0923677949787913,2.2482211995776082,0.9876486985703479,0.0,0.0,21.616535146851287,4.0,A2/A2,BB,,AA,0.0,,,100.0,0.0,,N,SYNTH00004,SYNTH00004,SYNTHETIC_ANIMAL_004,SYNTH00004,SYNTH00004,SYNTH00004,SYNTHETIC_ANIMAL_004
SYN0005,SYNTHETIC_ANIMAL_005,SYN0005,SYN0005,SYNTHETIC_ANIMAL_005,,10.0,SYN0005,SYN0005,2024-01-26 01:53:04.982170016,Completed,2023-06-04 19:25:20.448637095,N,,,2025-03-02 17:22:23.522221959,2026-10-15 08:45:12.756695650,,Cow,3.0,NP,3.0,7.815692072483284,15.908072708344344,12.762589700934225,SYNTH00005,SYNTHM00000004,SYNTH_SIRE_05,SYN0005,SYNTH00005,SYNTH00005,SYNTHETIC_ANIMAL_005,SYNTH00005,SYNTH00005,SYNTHETIC_ANIMAL_005,GPA,2025-11-29 15:41:23.320861045,99.0,101.0,2951.0,3136.0,854.0,349.0,3449.0,3518.0,543.0,504.0,516.0,541.0,475.0,367.0,1002.0,20.0,0.05911843395493771,37.0,-0.010106493221590157,105.0,102.0,95.0,108.0,109.0,102.0,102.0,98.0,97.0,95.0,98.0,96.0,105.0,100.0,100.0,107.0,101.0,6.0,0.0,4.0,6.0,2.0,1.0,1.0,-2.0,1.0,4.0,6.0,-2.0,-3.0,5.0,8.0,4.0,3.0,7.0,4.0,-3.0,2.0,3.0,4.0,-3.0,2.0,-4.0,12.0,8.0,6.0,9.0,4.0,,,1.0,0.0,0.0,5.0,1.0,1.0,7.100343616980719,7.457369086621975,0.3579762376701652,1.0,0.0,4.758805748443626,5.241044911932027,3.0,,BE,NR,AB,0.0,0.0,0.0,100.0,0.0,Y,N,SYNTH00005,SYNTH00005,SYNTHETIC_ANIMAL_005,SYNTH00005,SYNTH00005,SYNTH00005,SYNTHETIC_ANIMAL_005
SYN0006,SYNTHETIC_ANIMAL_006,SYN0006,SYN0006,SYNTHETIC_ANIMAL_006,,11.0,SYN0006,SYN0006,,Sample processing at lab,2022-06-25 11:48:20.052394040,Y,,,2015-10-15 05:43:15.674591327,2027-01-28 04:39:46.525402417,2026-03-01 14:58:07.868645737,Heifer,0.0,NP,3.0,6.413540964331614,11.773116907277593,13.387541608220573,SYNTH00006,SYNTHM00000005,SYNTH_SIRE_17,SYN0006,SYNTH00006,SYNTH00006,SYNTHETIC_ANIMAL_006,SYNTH00006,SYNTH00006,SYNTHETIC_ANIMAL_006,PA,2026-01-02 14:11:10.686037061,,114.0,3533.0,2731.0,1186.0,1524.0,3660.0,3329.0,501.0,501.0,739.0,469.0,573.0,361.0,625.0,62.0,0.3889243460979245,10.0,-0.05541442584758889,105.0,98.0,97.0,105.0,97.0,101.0,99.0,102.0,97.0,96.0,90.0,105.0,98.0,95.0,101.0,107.0,98.0,4.0,8.0,2.0,2.0,9.0,0.0,7.0,4.0,1.0,-1.0,0.0,-2.0,5.0,3.0,11.0,10.0,4.0,-0.0,-1.0,8.0,1.0,3.0,-1.0,2.0,2.0,0.0,3.0,-2.0,7.0,1.0,1.0,PP,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7561666506461622,0.0,0.0,0.0,0.0,A1/A2,AE,BB,AB,0.0,,,100.0,0.0,,,SYNTH00006,SYNTH00006,SYNTHETIC_ANIMAL_006,SYNTH00006,SYNTH00006,SYNTH00006,SYNTHETIC_ANIMAL_006
SYN0007,SYNTHETIC_ANIMAL_007,SYN0007,SYN0007,SYNTHETIC_ANIMAL_007,,5.0,SYN0007,SYN0007,2024-12-29 20:01:14.879627803,,2024-10-13 18:27:52.334481393,Y,,Sexed,2024-12-28 20:39:15.681031264,,2025-09-27 14:25:17.476381535,Cow,2.0,NP,3.0,6.923651717046873,,11.20833340572026,SYNTH00007,SYNTHM00000003,SYNTH_SIRE_12,SYN0007,SYNTH00007,SYNTH00007,SYNTHETIC_ANIMAL_007,SYNTH00007,SYNTH00007,SYNTHETIC_ANIMAL_007,GPA,2026-04-25 23:39:40.938973868,104.0,99.0,3376.0,2938.0,939.0,1536.0,3002.0,3155.0,401.0,413.0,562.0,449.0,441.0,513.0,524.0,20.0,0.3307733991832887,14.0,0.022727984612522983,102.0,99.0,98.0,99.0,103.0,104.0,101.0,98.0,95.0,96.0,103.0,101.0,103.0,98.0,104.0,104.0,99.0,6.0,1.0,8.0,3.0,7.0,0.0,-1.0,7.0,6.0,-1.0,3.0,-0.0,-4.0,2.0,7.0,7.0,4.0,2.0,-2.0,10.0,1.0,8.0,6.0,1.0,2.0,2.0,1.0,-0.0,1.0,1.0,3.0,,,1.0,5.0,0.0,0.0,1.0,1.0,5.6936797143785025,0.0,0.0,0.9323454912831411,0.0,6.266908372069704,5.216500195014227,6.0,,,BB,AB,0.0,0.0,,100.0,0.0,N,N,SYNTH00007,SYNTH00007,SYNTHETIC_ANIMAL_007,SYNTH00007,SYNTH00007,SYNTH00007,SYNTHETIC_ANIMAL_007
SYN0008,SYNTHETIC_ANIMAL_008,SYN0008,SYN0008,SYNTHETIC_ANIMAL_008,,1.0,SYN0008,SYN0008,2026-05-13 13:35:07.727416450,,2023-07-08 03:51:07.762780467,Y,,,2015-03-10 12:57:01.060996472,2026-11-28 10:01:48.977301243,,Cow,0.0,P,4.0,11.763977427612785,4.42825092090581,11.789761401895818,SYNTH00008,SYNTHM00000006,SYNTH_SIRE_02,SYN0008,SYNTH00008,SYNTH00008,SYNTHETIC_ANIMAL_008,SYNTH00008,SYNTH00008,SYNTHETIC_ANIMAL_008,GPA,2025-12-11 06:11:28.991906474,98.0,,2868.0,3488.0,964.0,452.0,3311.0,3353.0,576.0,494.0,570.0,471.0,488.0,375.0,1056.0,76.0,0.47590590331889937,49.0,0.15121134042806153,101.0,97.0,,103.0,104.0,104.0,100.0,103.0,98.0,99.0,107.0,99.0,99.0,99.0,102.0,96.0,104.0,10.0,2.0,6.0,5.0,3.0,-0.0,4.0,8.0,3.0,-2.0,-1.0,4.0,-0.0,0.0,5.0,7.0,-2.0,-2.0,-4.0,3.0,-2.0,-4.0,-2.0,4.0,-3.0,-1.0,8.0,-2.0,4.0,3.0,-3.0,PP,,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.4701795062601055,3.448415376263374,0.8897407379635479,37.88584512044642,0.28636339805415867,28.453504267866162,22.0,A1/A2,BE,AA,AA,,0.0,0.0,100.0,0.0,,Y,SYNTH00008,SYNTH00008,SYNTHETIC_ANIMAL_008,SYNTH00008,SYNTH00008,SYNTH00008,SYNTHETIC_ANIMAL_008
SYN0009,SYNTHETIC_ANIMAL_009,SYN0009,SYN0009,SYNTHETIC_ANIMAL_009,,11.0,SYN0009,SYN0009,2026-06-05 22:24:49.053575195,,2025-01-28 13:10:11.041634195,N,,,2015-11-28 05:25:03.752642269,2026-10-05 01:54:00.252130594,,Cow,4.0,NP,1.0,9.760412209245624,14.572745319750801,,SYNTH00009,SYNTHM00000006,SYNTH_SIRE_02,SYN0009,SYNTH00009,SYNTH00009,SYNTHETIC_ANIMAL_009,SYNTH00009,SYNTH00009,SYNTHETIC_ANIMAL_009,GPA,2026-04-07 08:14:45.867737314,102.0,101.0,3588.0,2680.0,1503.0,916.0,2974.0,3219.0,564.0,620.0,615.0,392.0,506.0,506.0,665.0,34.0,0.4307875884836604,46.0,0.14098194586716087,101.0,96.0,100.0,103.0,99.0,100.0,98.0,96.0,94.0,101.0,99.0,97.0,100.0,102.0,99.0,103.0,103.0,6.0,2.0,2.0,5.0,4.0,-4.0,11.0,2.0,2.0,6.0,-1.0,1.0,1.0,6.0,10.0,12.0,6.0,8.0,6.0,1.0,8.0,7.0,3.0,7.0,1.0,4.0,-0.0,-3.0,4.0,5.0,-7.0,,,1.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0821516106884621,4.846116970680811,0.835370059737322,43.13764796024657,6.733601962124348,0.0,14.0,A2/A2,AB,BB,AA,0.0,0.0,0.0,100.0,0.0,Y,Y,SYNTH00009,SYNTH00009,SYNTHETIC_ANIMAL_009,SYNTH00009,SYNTH00009,SYNTH00009,SYNTHETIC_ANIMAL_009
